element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
787,802,803,854,853,1.00000000e+06,8.44503140e-09,-1.81411653e-08,1.00000000e+06
788,803,804,855,854,1.00000000e+06,-1.73206520e-09,-1.89735380e-08,1.00000000e+06
789,804,805,856,855,1.00000000e+06,-3.38035287e-09,-6.60197026e-09,1.00000000e+06
790,805,806,857,856,1.00000000e+06,9.80506893e-09,2.96461532e-09,1.00000000e+06
791,806,807,858,857,1.00000000e+06,-1.47982204e-09,-2.97829816e-08,1.00000000e+06
792,807,808,859,858,1.00000000e+06,7.28181754e-09,-5.48681881e-08,1.00000000e+06
793,808,809,860,859,1.00000000e+06,2.03573281e-09,-2.12084019e-08,1.00000000e+06
794,809,810,861,860,1.00000000e+06,-3.90884385e-09,4.34430167e-08,1.00000000e+06
795,810,811,862,861,1.00000000e+06,-5.12935592e-09,-1.37854612e-08,1.00000000e+06
796,811,812,863,862,1.00000000e+06,1.09655245e-08,-3.06951709e-08,1.00000000e+06
797,812,813,864,863,1.00000000e+06,-6.77764359e-09,5.14930876e-08,1.00000000e+06
798,813,814,865,864,1.00000000e+06,1.88133903e-08,7.10595486e-08,1.00000000e+06
799,814,815,866,865,1.00000000e+06,-1.89125692e-08,9.21197197e-08,1.00000000e+06
800,816,817,868,867,9.98406106e+05,1.65380944e+05,-8.47750891e+04,9.38407540e+05
801,817,818,869,868,1.00808080e+06,1.37035140e+04,-7.01815711e+03,1.00137315e+06
802,818,819,870,869,9.93747040e+05,-6.83404384e+03,1.41412950e+04,9.97482392e+05
803,819,820,871,870,9.96500842e+05,-2.00193953e+03,5.70806052e+03,9.97552312e+05
804,820,821,872,871,9.99356781e+05,-9.51473716e+02,1.45518206e+03,9.99836034e+05
805,821,822,873,872,9.99947185e+05,-2.07298337e+02,1.31162730e+02,1.00005088e+06
806,822,823,874,873,1.00006808e+06,2.14579962e+01,-1.22851168e+02,1.00005738e+06
807,823,824,875,874,1.00003620e+06,2.60638203e+01,-6.83741959e+01,1.00002317e+06
808,824,825,876,875,1.00001072e+06,1.26596632e+01,-2.16428883e+01,1.00000439e+06
809,825,826,877,876,1.00000131e+06,2.84006768e+00,-2.85980482e+00,9.99999894e+05
810,826,827,878,877,9.99999414e+05,1.04172022e-01,9.67656719e-01,9.99999361e+05
811,827,828,879,878,9.99999582e+05,-2.79227932e-01,7.94099515e-01,9.99999721e+05
812,828,829,880,879,9.99999852e+05,-1.50058583e-01,2.88671276e-01,9.99999927e+05
813,829,830,881,880,9.99999975e+05,-4.21628233e-02,5.31730876e-02,9.99999996e+05
814,830,831,882,881,1.00000000e+06,-4.66528676e-03,-5.34422002e-03,1.00000001e+06
815,831,832,883,882,1.00000000e+06,2.55889170e-03,-8.70534185e-03,1.00000000e+06
816,832,833,884,883,1.00000000e+06,1.73024656e-03,-3.67469978e-03,1.00000000e+06
817,833,834,885,884,1.00000000e+06,5.88519483e-04,-8.61479207e-04,1.00000000e+06
818,834,835,886,885,1.00000000e+06,9.40068178e-05,-1.45991113e-05,1.00000000e+06
819,835,836,887,886,1.00000000e+06,-1.76328706e-05,8.78788147e-05,1.00000000e+06
820,836,837,888,887,1.00000000e+06,-1.95486498e-05,4.52908957e-05,1.00000000e+06
821,837,838,889,888,1.00000000e+06,-7.62555878e-06,1.25699917e-05,1.00000000e+06
822,838,839,890,889,1.00000000e+06,-1.62452289e-06,1.14495724e-06,1.00000000e+06
823,839,840,891,890,1.00000000e+06,4.37123433e-08,-8.79532950e-07,1.00000000e+06
824,840,841,892,891,1.00000000e+06,1.95214890e-07,-5.80494483e-07,1.00000000e+06
825,841,842,893,892,1.00000000e+06,9.86631783e-08,-2.33509066e-07,1.00000000e+06
826,842,843,894,893,1.00000000e+06,2.49427210e-08,-4.52559930e-08,1.00000000e+06
827,843,844,895,894,1.00000000e+06,2.09781292e-08,1.91559759e-09,1.00000000e+06
828,844,845,896,895,1.00000000e+06,-1.96609716e-08,-3.32036915e-08,1.00000000e+06
829,845,846,897,896,1.00000000e+06,-3.57274560e-10,-1.42073488e-08,1.00000000e+06
830,846,847,898,897,1.00000000e+06,-5.56731494e-09,-9.73762107e-09,1.00000000e+06
831,847,848,899,898,1.00000000e+06,5.21773416e-09,-3.47772181e-08,1.00000000e+06
832,848,849,900,899,1.00000000e+06,2.78133205e-09,-1.22575441e-08,1.00000000e+06
833,849,850,901,900,1.00000000e+06,-3.91447668e-10,-5.87221880e-09,1.00000000e+06
834,850,851,902,901,1.00000000e+06,4.45364680e-09,-1.96348753e-08,1.00000000e+06
835,851,852,903,902,1.00000000e+06,3.79211615e-09,-4.85284722e-08,1.00000000e+06
836,852,853,904,903,1.00000000e+06,1.03631110e-08,-4.74452474e-08,1.00000000e+06
837,853,854,905,904,1.00000000e+06,2.82290789e-09,-1.18584613e-08,1.00000000e+06
838,854,855,906,905,1.00000000e+06,-7.00309394e-09,2.96461532e-10,1.00000000e+06
839,855,856,907,906,1.00000000e+06,3.11673769e-10,1.26566269e-09,1.00000000e+06
840,856,857,908,907,1.00000000e+06,3.05298027e-09,-4.35912475e-08,1.00000000e+06
841,857,858,909,908,1.00000000e+06,6.87066629e-09,-4.58147090e-08,1.00000000e+06
842,858,859,910,909,1.00000000e+06,7.04713808e-09,-1.43555795e-08,1.00000000e+06
843,859,860,911,910,1.00000000e+06,-4.22944819e-09,2.12654137e-08,1.00000000e+06
844,860,861,912,911,1.00000000e+06,1.47120496e-09,8.66579861e-08,1.00000000e+06
845,861,862,913,912,1.00000000e+06,-2.47582311e-09,5.58031821e-08,1.00000000e+06
846,862,863,914,913,1.00000000e+06,1.66966681e-08,1.76052540e-08,1.00000000e+06
847,863,864,915,914,1.00000000e+06,6.45951504e-09,-1.43669819e-09,1.00000000e+06
848,864,865,916,915,1.00000000e+06,9.32831478e-09,6.18236317e-08,1.00000000e+06
849,865,866,917,916,1.00000000e+06,-3.02557543e-09,6.54495843e-08,1.00000000e+06
850,867,868,919,918,1.01486444e+06,1.57836917e+05,-9.59668085e+04,9.60368751e+05
851,868,869,920,919,9.97390213e+05,3.54668181e+02,-9.26161230e+01,9.97212939e+05
852,869,870,921,920,9.84379430e+05,-5.49991841e+03,1.41778932e+04,9.87446280e+05
853,870,871,922,921,9.94869415e+05,-4.47917619e+02,4.30037710e+03,9.95121326e+05
854,871,872,923,922,9.99076178e+05,-6.63003694e+02,1.26465276e+03,9.99410245e+05
855,872,873,924,923,1.00006034e+06,-6.18954079e+01,5.33999908e+01,1.00009129e+06
856,873,874,925,924,1.00015715e+06,1.24255295e+01,-1.14250261e+02,1.00015095e+06
857,874,875,926,925,1.00006341e+06,1.49507179e+01,-5.84193279e+01,1.00005594e+06
858,875,876,927,926,1.00001605e+06,7.00139972e+00,-1.79555200e+01,1.00001255e+06
859,876,877,928,927,1.00000034e+06,1.19197290e+00,-1.79483635e+00,9.99999742e+05
860,877,878,929,928,9.99998513e+05,4.18825239e-02,9.30470705e-01,9.99998492e+05
861,878,879,930,929,9.99999195e+05,-1.84214081e-01,7.10170914e-01,9.99999287e+05
862,879,880,931,930,9.99999774e+05,-7.52352000e-02,2.35106885e-01,9.99999812e+05
863,880,881,932,931,9.99999976e+05,-2.23843681e-02,4.05955293e-02,9.99999987e+05
864,881,882,933,932,1.00000001e+06,-1.20283105e-03,-6.86760255e-03,1.00000001e+06
865,882,883,934,933,1.00000001e+06,1.50202054e-03,-7.72509838e-03,1.00000001e+06
866,883,884,935,934,1.00000000e+06,9.78731234e-04,-3.10666115e-03,1.00000000e+06
867,884,885,936,935,1.00000000e+06,2.91780784e-04,-6.67267371e-04,1.00000000e+06
868,885,886,937,936,1.00000000e+06,4.19239216e-05,1.28132726e-05,1.00000000e+06
869,886,887,938,937,1.00000000e+06,-1.33066020e-05,8.12052262e-05,1.00000000e+06
870,887,888,939,938,1.00000000e+06,-1.08602118e-05,3.86092115e-05,1.00000000e+06
871,888,889,940,939,1.00000000e+06,-3.98888806e-06,1.00720069e-05,1.00000000e+06
872,889,890,941,940,1.00000000e+06,-7.44416627e-07,6.70926653e-07,1.00000000e+06
873,890,891,942,941,1.00000000e+06,6.57951727e-08,-8.05485981e-07,1.00000000e+06
874,891,892,943,942,1.00000000e+06,1.14128822e-07,-5.29856573e-07,1.00000000e+06
875,892,893,944,943,1.00000000e+06,4.80298936e-08,-2.15983628e-07,1.00000000e+06
876,893,894,945,944,1.00000000e+06,8.84505987e-09,-7.02385782e-08,1.00000000e+06
877,894,895,946,945,1.00000000e+06,1.41133154e-08,-2.07181001e-08,1.00000000e+06
878,895,896,947,946,1.00000000e+06,-1.60188404e-08,-2.01821889e-08,1.00000000e+06
879,896,897,948,947,1.00000000e+06,1.05725806e-09,-2.83462834e-08,1.00000000e+06
880,897,898,949,948,1.00000000e+06,-3.17618629e-09,-3.19836383e-08,1.00000000e+06
881,898,899,950,949,1.00000000e+06,-1.36712677e-09,-4.56436735e-08,1.00000000e+06
882,899,900,951,950,1.00000000e+06,8.58915646e-09,-2.23828456e-08,1.00000000e+06
883,900,901,952,951,1.00000000e+06,-6.68249708e-09,-7.32031936e-09,1.00000000e+06
884,901,902,953,952,1.00000000e+06,6.61564243e-09,-2.92242656e-08,1.00000000e+06
885,902,903,954,953,1.00000000e+06,-1.59717672e-09,-4.24852179e-08,1.00000000e+06
886,903,904,955,954,1.00000000e+06,6.57036897e-09,-2.04444433e-08,1.00000000e+06
887,904,905,956,955,1.00000000e+06,-2.21621461e-09,-1.06156033e-08,1.00000000e+06
888,905,906,957,956,1.00000000e+06,-1.03246282e-08,-2.74340940e-08,1.00000000e+06
889,906,907,958,957,1.00000000e+06,-4.02895680e-09,-1.36486328e-08,1.00000000e+06
890,907,908,959,958,1.00000000e+06,4.38990766e-09,3.47772181e-09,1.00000000e+06
891,908,909,960,959,1.00000000e+06,2.50231850e-09,2.21205912e-09,1.00000000e+06
892,909,910,961,960,1.00000000e+06,-3.11610738e-09,5.99764483e-08,1.00000000e+06
893,910,911,962,961,1.00000000e+06,-1.99168866e-09,7.64756728e-08,1.00000000e+06
